date,Open,High,Low,Close,Volume
2021-09-08,278.18,279.95,277.59,279.34,4647350.0
2021-09-09,278.91,280.11,278.37,278.61,3684442.0
2021-09-10,279.97,279.97,277.49,277.6,4554095.0
2021-09-13,278.36,280.84,277.82,279.92,4602220.0
2021-09-14,280.54,280.78,276.36,277.2,5283679.0
2021-09-15,277.6,279.06,276.67,278.18,3884425.0
2021-09-16,278.96,279.21,276.21,277.51,4211260.0
2021-09-17,277.64,281.0,275.42,276.76,15864326.0
2021-09-20,273.05,274.91,271.36,274.2,7645544.0
2021-09-21,276.03,276.22,272.59,273.18,4649584.0
2021-09-22,276.28,276.61,273.67,274.07,5019165.0
2021-09-23,275.15,279.7,275.01,278.12,4732436.0
2021-09-24,278.3,279.13,277.41,277.87,3109731.0
2021-09-27,279.77,280.625,278.12,279.72,3359132.0
2021-09-28,279.14,281.38,275.82,276.79,4959925.0
2021-09-29,277.03,278.78,275.95,277.29,2952031.0
2021-09-30,278.37,278.37,272.84,272.94,5189361.0
2021-10-01,273.02,277.51,272.22,275.71,3951758.0
2021-10-04,274.68,276.96,273.05,273.64,4308740.0
2021-10-05,273.86,279.67,273.2,278.05,5070203.0
2021-10-06,276.28,280.3931,274.6101,280.22,3867578.0
2021-10-07,282.14,284.99,282.14,282.95,3795242.0
2021-10-08,282.59,284.72,281.71,284.14,2300367.0
2021-10-11,284.43,285.61,280.8,280.93,2908483.0
2021-10-12,281.46,281.52,278.215,278.62,3771281.0
2021-10-13,278.47,279.41,275.55,277.9,3312002.0
2021-10-14,280.81,282.38,279.3,281.64,3647106.0
2021-10-15,283.94,284.97,282.27,284.21,4315875.0
2021-10-18,282.83,283.51,281.57,282.59,3552083.0
2021-10-19,283.6,285.15,283.0501,284.83,2685424.0
2021-10-20,284.34,287.7,284.32,287.49,3148731.0
2021-10-21,286.99,287.28,285.25,286.82,2488982.0
2021-10-22,287.66,289.8,286.24,289.24,3407466.0
2021-10-25,289.7,290.47,287.6,290.26,3143636.0
2021-10-26,290.65,292.22,290.3,290.85,3884790.0
2021-10-27,290.85,290.945,287.64,287.78,3692629.0
2021-10-28,288.21,289.86,287.2,289.72,3308755.0
